State,Naics,Establishments,Employees,Payroll
AL,722410,294,2741,65879
AL,722511,2765,63055,1457706
AL,722513,4439,89949,1624502
AL,722514,84,1099,23550
AL,722515,764,8436,154408
AL,811111,919,4395,215928
AL,811112,3,8,358
AL,811113,42,138,6160
AL,811118,18,102,5582
AL,811121,535,3197,182150
AL,811122,87,464,23177
AL,811191,145,1297,59076
AL,811192,256,1904,53417
AL,811198,15,32,1820
AL,811211,10,861,70115
AL,811212,28,100,4166
AL,811213,19,213,13316
AL,811219,27,1647,134796
AL,811310,392,4341,277671
AL,811412,44,184,8007
AL,811420,19,40,1113
AL,811490,89,346,13642
AL,812111,41,177,4628
AL,812112,714,3480,111359
AL,812113,270,706,22839
AL,812191,27,109,4408
AL,812199,240,1371,35866
AL,812210,254,1865,73005
AL,812220,43,309,12385
AL,812310,45,169,3101
AL,812320,136,1068,27349
AL,812331,3,73,2759
AL,812332,11,493,22875
AL,812910,272,2400,77234
AL,812930,40,194,5038
AL,812990,136,376,11085
AL,813110,4524,38265,920181
AL,813211,86,312,18277
AL,813212,37,304,18522
AL,813219,25,304,16522
AL,813311,23,287,16657
AL,813312,59,460,17074
AL,813319,61,536,27658
AL,813410,236,1396,36915
AL,813910,171,761,55842
AL,813920,50,267,20916
AL,813930,171,910,23554
AL,813940,9,19,1048
AL,813990,67,340,28052
AK,113310,12,98,8283
AK,114111,343,442,52089
AK,114112,81,27,3357
AK,115310,7,9,1183
AK,211120,17,1528,371896
AK,212221,28,1889,238619
AK,212321,24,135,13806
AK,213111,8,809,100440
AK,213112,32,2858,323212
AK,213114,12,57,11409
AK,221111,8,30,3236
AK,221112,15,732,89160
AK,221122,30,436,47909
AK,221210,3,197,22998
AK,221310,10,94,8107
AK,236115,182,566,35402
AK,236117,41,451,42640
AK,236118,395,1210,74207
AK,236210,12,129,24357
AK,236220,224,3094,333278
AK,237110,33,187,22025
AK,237120,15,973,108167
AK,237130,28,388,43522
AK,237210,8,13,1360
AK,237310,70,1121,237877
AK,237990,12,47,13434
AK,238110,50,107,15630
AK,238120,10,40,6745
AK,238130,60,201,10180
AK,238140,20,32,2441
AK,238150,14,109,7113
AK,238160,65,442,50243
AK,238170,24,95,7162
AK,238190,14,41,4133
AK,238210,234,1923,172253
AK,238220,255,1903,163450
AK,238290,13,99,11160
AK,238310,85,353,22195
AK,238320,103,289,18903
AK,238330,47,154,9014
AK,238340,22,62,2905
AK,238350,84,408,28293
AK,238390,11,30,1307
AK,238910,200,1149,136663
AK,238990,77,356,40522
AK,311710,83,6886,468994
AK,311811,12,143,4221
AK,311812,4,96,5354
AK,312120,33,448,19880
AK,312140,4,21,353
AK,321113,4,49,2946
AK,321214,7,146,7851
AK,321920,3,9,553
AK,321999,4,24,1224
AK,323111,26,206,11262
AK,324121,15,31,2186
AK,327320,9,72,8632
AK,327390,3,21,2442
AK,332312,3,53,4165
AK,332322,4,35,2935
AK,332710,10,41,1814
AK,332999,3,9,431
AK,336413,3,33,1944
AK,336611,5,54,2707
AK,336612,8,87,4749
AK,337110,3,5,246
AK,339116,8,45,2623
AK,339950,12,93,4614
AK,423110,10,277,24835
AK,423120,22,169,10489
AK,423210,4,57,4640
AK,423220,6,31,2320
AK,423310,9,163,11263
AK,423330,3,28,2338
AK,423420,10,51,4257
AK,423440,7,73,4413
AK,423450,10,94,7641
AK,423490,3,21,957
AK,423510,9,54,4590
AK,423610,30,407,39280
AK,423690,10,107,18549
AK,423720,16,212,16841
AK,423730,10,87,9204
AK,423810,23,525,48862
AK,423830,46,377,31237
AK,423840,14,99,7617
AK,423850,9,57,2725
AK,423910,7,62,2869
AK,423930,3,8,317
AK,423990,3,2,343
AK,424120,5,32,2224
AK,424130,3,52,4178
AK,424210,9,44,2507
AK,424410,7,215,18366
AK,424420,7,1069,27432
AK,424460,19,76,5369
AK,424470,4,68,3161
AK,424480,4,270,18487
AK,424490,30,714,40277
AK,424690,18,150,12084
AK,424710,27,371,34067
AK,424720,7,69,5970
AK,424820,3,304,21094
AK,424940,3,195,9076
AK,424990,7,94,4309
AK,425120,32,98,8325
AK,441110,31,1806,133402
AK,441120,34,264,17357
AK,441210,4,34,3429
AK,441222,17,109,5613
AK,441228,39,392,23309
AK,441310,81,880,40297
AK,441320,19,244,15850
AK,442110,36,186,10248
AK,442210,19,157,10073
AK,442299,20,123,3477
AK,443141,6,50,2548
AK,443142,15,230,10029
AK,444110,6,995,32492
AK,444120,5,28,1898
AK,444130,31,450,21026
AK,444190,76,905,49779
AK,444220,15,91,5313
AK,445110,195,5775,190469
AK,445120,19,195,6102
AK,445210,6,68,2341
AK,445220,3,23,1350
AK,445299,17,93,2208
AK,445310,66,563,20531
AK,446110,23,476,20961
AK,446120,15,226,5021
AK,446130,22,106,4601
AK,446191,13,43,1592
AK,446199,12,51,2987
AK,447110,125,1269,45306
AK,447190,44,339,14949
AK,448110,6,109,3738
AK,448120,22,110,2651
AK,448140,56,760,20381
AK,448150,10,43,979
AK,448190,26,196,6059
AK,448210,21,178,4331
AK,448310,73,232,15438
AK,451110,80,1063,30602
AK,451120,27,236,6056
AK,451130,20,207,2979
AK,451140,5,60,1337
AK,451211,17,112,2680
AK,452311,21,6000,233506
AK,452319,49,428,9382
AK,453110,13,53,1902
AK,453210,7,129,6836
AK,453220,140,603,29319
AK,453310,58,694,18198
AK,453910,16,230,8434
AK,453920,36,102,2796
AK,453991,57,348,12260
AK,453998,77,614,29194
AK,454110,41,87,3780
AK,454310,34,219,13019
