,fips,relevant_naics,YEAR,estab,emp,payann
1002,6,441320,2017,2247,17705,726477
1004,6,441120,2017,1532,12548,581735
1006,6,442291,2017,218,1087,44713
1008,6,448120,2017,3625,42866,822191
1010,6,452319,2017,2317,38365,665928
1012,6,453998,2017,1813,9146,316778
1014,6,453920,2017,650,2388,127046
1016,6,451211,2017,599,9774,149322
1018,6,452210,2017,346,48563,1103463
1020,6,454110,2017,7583,85100,5155792
1022,6,453110,2017,1106,4582,97807
1024,6,454310,2017,291,2292,116330
1026,6,453220,2017,2263,15932,359970
1028,6,451120,2017,928,17651,253228
1030,6,453930,2017,82,375,19992
1032,6,451140,2017,361,2848,77044
1034,6,451212,2017,73,311,7440
1036,6,453210,2017,677,8405,179106
1038,6,454390,2017,2509,15886,647279
1040,6,453910,2017,1217,14545,359976
1042,6,451130,2017,384,3730,59608
1044,6,451110,2017,2271,22372,560094
1046,6,453991,2017,1193,3056,62572
1048,6,453310,2017,1913,19840,457447
1050,6,454210,2017,221,1809,78644
1052,6,452311,2017,686,155361,4634649
1054,6,488999,2017,46,79,3536
1056,6,485999,2017,266,2442,80303
1058,6,485113,2017,105,4633,184112
1060,6,485510,2017,189,3332,120889
1062,6,483113,2017,25,315,25579
1064,6,483114,2017,8,224,10334
1066,6,483111,2017,29,225,13812
1068,6,483112,2017,4,0,0
1070,6,488510,2017,3208,37903,2181165
1072,6,484110,2017,4238,22763,1024640
1074,6,484122,2017,596,21589,1233575
1076,6,484121,2017,2968,28216,1449335
1078,6,483211,2017,4,0,0
1080,6,483212,2017,10,85,1959
1082,6,485210,2017,74,1169,38279
1084,6,485320,2017,681,5392,170973
1086,6,488320,2017,55,20773,2046057
1088,6,488410,2017,1140,10503,416694
1090,6,488330,2017,29,558,63166
1092,6,481212,2017,11,331,39084
1094,6,481211,2017,127,2168,237299
1096,6,488119,2017,161,14734,495906
1098,6,481219,2017,25,152,10647
1100,6,488190,2017,403,6969,418273
1102,6,488490,2017,417,5592,178509
1104,6,488390,2017,43,605,32694
1106,6,488991,2017,167,1286,51307
1108,6,486110,2017,20,433,43530
1110,6,486210,2017,18,29,2033
1112,6,486910,2017,11,226,26072
1114,6,488310,2017,14,189,17915
1116,6,487110,2017,100,1231,44949
1118,6,487990,2017,14,150,4321
1120,6,487210,2017,185,2454,82285
1122,6,481112,2017,40,624,51111
1124,6,481111,2017,220,46387,4206297
1126,6,485410,2017,129,9190,253109
1128,6,485991,2017,336,4979,153283
1130,6,484220,2017,2137,20150,1145373
1132,6,484230,2017,769,9215,533418
1134,6,488210,2017,72,2691,136600
1136,6,485310,2017,170,1931,146435
1138,6,484210,2017,1106,9653,362893
1140,6,492110,2017,1068,65995,3107191
1142,6,493130,2017,32,788,39804
1144,6,493110,2017,1604,96372,4217225
1146,6,492210,2017,552,9164,329885
1148,6,493190,2017,271,4883,255131
1150,6,493120,2017,172,6158,299020
1152,6,519190,2017,53,768,68724
1154,6,511199,2017,70,408,21178
1156,6,517919,2017,378,5423,509347
1158,6,511130,2017,299,4099,304135
1160,6,515210,2017,109,7919,1058433
1162,6,518210,2017,2613,89448,12721928
1164,6,511140,2017,60,374,22211
1167,6,511191,2017,4,12,427
1169,6,519130,2017,1896,93190,25398191
1171,6,519120,2017,59,560,31394
1173,6,512120,2017,127,1205,102537
1175,6,512110,2017,5642,78353,8348891
1177,6,512131,2017,487,18234,301095
1179,6,512230,2017,251,1337,133142
1181,6,519110,2017,50,906,89283
1183,6,511110,2017,556,10796,593727
1185,6,512199,2017,61,356,26537
1187,6,512290,2017,101,490,18818
1189,6,511120,2017,546,7016,596499
1191,6,515111,2017,83,926,63759
1193,6,515112,2017,313,7122,485528
1195,6,512250,2017,206,3401,508660
1197,6,517410,2017,76,708,65081
1199,6,511210,2017,2902,152109,29448751
1201,6,512240,2017,510,1533,120763
1203,6,517911,2017,683,4120,170699
1205,6,512191,2017,1216,14236,1469833
1207,6,515120,2017,263,17719,1914038
1209,6,517311,2017,2546,66612,6075562
1211,6,517312,2017,2491,27097,1731249
1213,6,524298,2017,231,2994,233344
1215,6,522298,2017,786,5661,445956
1217,6,524291,2017,344,3883,265976
1219,6,522110,2017,8048,137541,13486884
1221,6,523140,2017,53,420,25760
1223,6,523130,2017,112,960,71074
1225,6,522291,2017,621,8650,980877
1227,6,522210,2017,36,793,66192
1229,6,522130,2017,1474,27574,1854373
1231,6,524114,2017,414,40229,3952653
1233,6,524113,2017,612,12522,1319451
1235,6,524126,2017,943,34301,3207096
1237,6,524127,2017,712,10338,1043076
1239,6,522320,2017,621,14542,2927090
1241,6,524210,2017,14507,79225,6160403
1243,6,522293,2017,37,86,4372
1245,6,523930,2017,2847,10578,1296969
1247,6,523110,2017,493,5080,2103163
1249,6,523999,2017,55,238,21165
1251,6,523910,2017,1438,8852,2124131
1253,6,522310,2017,2319,11835,1068355
1255,6,525910,2017,11,79,25952
1257,6,522390,2017,2331,13634,833238
1259,6,524128,2017,38,465,20118
1261,6,525990,2017,133,171,28388
1263,6,523920,2017,4514,39964,11918290
1265,6,522292,2017,2225,47618,4943472
1267,6,524130,2017,30,462,65066
1269,6,522220,2017,459,10098,895556
1271,6,522120,2017,156,1025,157668
1273,6,522294,2017,32,239,31220
1275,6,523120,2017,2982,24316,4960642
1277,6,524292,2017,520,18799,1410113
1279,6,523991,2017,474,3104,261245
1281,6,532289,2017,586,6350,243003
1283,6,532411,2017,59,501,143520
1285,6,532412,2017,508,5825,426242
1287,6,532210,2017,357,1352,75047
1289,6,532281,2017,103,593,26190
1291,6,532310,2017,244,1659,77108
1293,6,532283,2017,132,1995,90182
1295,6,531130,2017,2192,6750,215876
1297,6,533110,2017,317,4272,581795
1299,6,531120,2017,4785,25664,2229049
1301,6,531190,2017,1498,5766,204677
1303,6,531110,2017,9980,45470,2096018
1305,6,531312,2017,2873,22885,1813163
1307,6,532420,2017,92,1137,99941
1309,6,531210,2017,17125,45232,3567611
1311,6,531320,2017,1082,3154,207802
1313,6,531390,2017,3295,14640,1411015
1315,6,532490,2017,1383,17462,1079133
1317,6,532112,2017,30,197,12250
1319,6,532111,2017,1248,12355,535730
1321,6,532284,2017,249,1785,63282
1323,6,531311,2017,7727,62675,2795845
1325,6,532120,2017,558,5222,281494
1327,6,532282,2017,101,357,8547
1329,6,541611,2017,10588,61223,6574281
1331,6,541810,2017,2095,28979,2860143
1333,6,541870,2017,119,2195,159815
1335,6,541199,2017,785,5189,284357
1337,6,541990,2017,2320,11525,810764
1339,6,541310,2017,3406,27593,2517040
1341,6,541350,2017,795,2539,145771
1343,6,541922,2017,641,1484,88446
1345,6,541513,2017,774,10537,845060
1347,6,541512,2017,7666,95387,11655524
1349,6,541511,2017,10922,140419,18143396
1351,6,541860,2017,296,3964,240476
1353,6,541340,2017,221,806,46590
1355,6,541330,2017,8810,126372,12457347
1357,6,541620,2017,1597,13338,982573
1359,6,541360,2017,32,90,5488
1361,6,541430,2017,2413,9448,639009
1363,6,541612,2017,1039,12069,914575
1365,6,541420,2017,332,3001,289054
1367,6,541410,2017,2078,7113,463668
1369,6,541320,2017,934,5714,368704
1371,6,541613,2017,6299,30117,2392273
1373,6,541910,2017,895,13568,1229669
1375,6,541830,2017,228,4588,478633
1377,6,541840,2017,174,1589,168653
1379,6,541211,2017,7412,58415,4805881
1381,6,541110,2017,22191,136290,14876508
1383,6,541219,2017,5376,27553,1350959
1385,6,541519,2017,1182,8937,1098502
1387,6,541618,2017,557,1733,157561
1389,6,541690,2017,5181,21642,1749929
1391,6,541890,2017,858,20545,588273
1393,6,541490,2017,551,2210,150812
1395,6,541850,2017,282,3372,174863
1397,6,541214,2017,565,18694,1927633
1399,6,541921,2017,1059,4388,113871
1401,6,541614,2017,1099,6558,460384
1403,6,541820,2017,1417,8821,834224
1405,6,541714,2017,992,26675,4824218
1407,6,541713,2017,654,29398,4356026
1409,6,541715,2017,2039,70313,10878853
1411,6,541720,2017,263,5435,466593
1413,6,541370,2017,475,3038,232905
1415,6,541213,2017,4151,21108,302898
1417,6,541380,2017,895,16528,1127002
1419,6,541191,2017,333,4103,304993
1421,6,541930,2017,476,3630,172120
1423,6,541940,2017,3065,38303,1636007
1425,6,551114,2017,4839,339751,46743543
1427,6,551111,2017,12,74,14103
1429,6,551112,2017,520,9248,865969
1431,6,561499,2017,410,4424,325638
1433,6,562998,2017,36,783,43297
1435,6,561990,2017,1275,14406,689062
1437,6,561599,2017,439,11668,1050228
1439,6,561613,2017,65,3156,121090
1441,6,561740,2017,772,3556,121154
1443,6,561440,2017,386,8381,432045
1445,6,561920,2017,861,12242,595721
1447,6,561591,2017,62,765,57584
1449,6,561492,2017,370,1770,102226
1451,6,561450,2017,40,408,47832
1453,6,561410,2017,562,3910,125941
1455,6,561311,2017,870,13946,838315
1457,6,561312,2017,777,3659,483135
1459,6,561710,2017,1749,16172,775911
1461,6,561210,2017,637,14531,695203
1463,6,562112,2017,74,1378,95399
1465,6,562211,2017,72,1960,125400
1467,6,561611,2017,600,5310,241924
1469,6,561720,2017,5464,102775,2686499
1471,6,561730,2017,8475,86871,3101320
1473,6,561622,2017,456,2152,88939
1475,6,562920,2017,114,1678,101394
1477,6,561110,2017,4710,62987,4402075
1479,6,561439,2017,940,7661,311584
1481,6,562219,2017,6,30,1876
1483,6,561790,2017,1644,7968,294350
1485,6,562119,2017,43,222,8896
1487,6,561910,2017,239,3085,118582
1489,6,561431,2017,835,3619,90812
1491,6,561330,2017,305,10632,512338
1493,6,562910,2017,416,8330,513711
1495,6,561491,2017,83,662,27648
1497,6,561612,2017,1764,132020,3588911
1499,6,561621,2017,743,13444,713049
1501,6,562991,2017,202,2401,117820
1503,6,562111,2017,819,24071,1707868
1505,6,562212,2017,76,910,63751
1507,6,561422,2017,381,18507,599818
1509,6,561421,2017,117,1498,44211
1511,6,561320,2017,3698,231615,8957172
1513,6,561520,2017,444,3752,207528
1515,6,561510,2017,2150,12125,788281
1517,6,611699,2017,928,13065,264584
1519,6,611513,2017,115,1770,82140
1521,6,611692,2017,284,1566,33244
1523,6,611410,2017,3,9,126
1525,6,611310,2017,660,129884,5224689
1527,6,611420,2017,233,2067,138486
1529,6,611511,2017,160,1745,55170
1531,6,611710,2017,1386,13239,618479
1533,6,611110,2017,2728,131546,5705005
1535,6,611691,2017,1879,24133,611010
1537,6,611610,2017,1812,12722,271008
1539,6,611512,2017,119,948,41908
1541,6,611210,2017,100,3924,180360
1543,6,611630,2017,381,4980,94198
1545,6,611519,2017,615,8442,353901
1547,6,611430,2017,769,6079,403705
1549,6,611620,2017,2112,17686,357959
1551,6,621999,2017,419,5442,359675
1553,6,621498,2017,1604,49753,2924607
1555,6,621910,2017,394,19909,808969
1557,6,623312,2017,3431,56338,1480852
1559,6,621991,2017,99,3679,219132
1561,6,624110,2017,1448,29692,1013737
1563,6,624410,2017,8600,79826,2151233
1565,6,624210,2017,369,5015,169014
1567,6,623311,2017,433,30201,977503
1569,6,621512,2017,781,12649,731644
1571,6,624230,2017,88,1362,71712
1573,6,621410,2017,268,2338,116865
1575,6,621493,2017,793,13365,776625
1577,6,622110,2017,365,497360,41904782
1579,6,621491,2017,945,27088,2470722
1581,6,621610,2017,3500,83523,3154651
1583,6,621492,2017,777,13800,758917
1585,6,621511,2017,1522,24779,1844991
1587,6,623110,2017,1631,142567,4705245
1589,6,621399,2017,2723,10162,420314
1591,6,621310,2017,4202,11973,358730
1593,6,621210,2017,22114,130157,6066074
1595,6,621330,2017,3174,20771,647033
1597,6,621320,2017,2929,15066,567426
1599,6,621340,2017,3752,32616,1381968
1601,6,621111,2017,30231,215193,19342731
1603,6,621112,2017,1581,4448,352880
1605,6,621391,2017,717,2660,123214
1607,6,624229,2017,494,7070,298970
1609,6,624190,2017,3302,45208,1660946
1611,6,623990,2017,733,15622,534266
1613,6,621420,2017,1105,21150,918921
1615,6,622210,2017,22,6824,440706
1617,6,623210,2017,2404,29672,749082
1619,6,623220,2017,1185,25561,943936
1621,6,624120,2017,3839,121124,3029124
1623,6,622310,2017,24,8416,668803
1625,6,624221,2017,360,7186,239384
1627,6,624310,2017,771,30130,735231
1629,6,711410,2017,1377,8423,1248973
1631,6,713990,2017,1798,15878,358524
1633,6,713110,2017,35,20053,555637
1635,6,713120,2017,293,4686,73470
1637,6,713950,2017,163,4986,105658
1639,6,713210,2017,14,4392,183327
1641,6,711120,2017,60,1156,41145
1643,6,713940,2017,4386,88999,1604431
1645,6,713910,2017,630,33835,1005341
1647,6,712120,2017,22,166,9018
1649,6,711510,2017,13505,17971,5498805
1651,6,713930,2017,205,1991,74755
1653,6,712110,2017,440,12022,472938
1655,6,711130,2017,954,6118,380400
1657,6,712190,2017,45,249,9411
1659,6,713290,2017,133,8819,292245
1661,6,711190,2017,17,55,1294
1663,6,711219,2017,373,2049,86439
1665,6,711310,2017,395,15410,361983
1667,6,711320,2017,621,4772,311153
1669,6,711212,2017,30,1670,38973
1671,6,713920,2017,17,2557,38410
1673,6,711211,2017,73,5193,1905412
1675,6,711110,2017,370,8621,267389
1677,6,712130,2017,40,1428,50961
1679,6,721199,2017,95,783,21986
1681,6,721191,2017,242,1739,37454
1683,6,722514,2017,462,9113,154788
1685,6,721120,2017,13,20492,879886
1687,6,722320,2017,1596,21753,514959
1689,6,722410,2017,3295,41089,843297
1691,6,722310,2017,2407,61207,1613851
1693,6,722511,2017,31172,671699,15112651
1695,6,721110,2017,5666,222266,7336663
1697,6,722513,2017,31900,538850,9507411
1699,6,722330,2017,683,2785,59431
1701,6,721211,2017,361,2922,88613
1703,6,721214,2017,202,1891,62218
1705,6,721310,2017,189,906,31702
1707,6,722515,2017,11109,120247,2119974
