,fips,relevant_naics,YEAR,estab,emp,payann
290,26,336111,2017,21,39,4877
292,26,334412,2017,3,0,0
294,26,336612,2017,7,0,0
296,26,332722,2017,51,2596,161605
298,26,339994,2017,3,0,0
300,26,335991,2017,3,0,0
302,26,335122,2017,6,28,667
304,26,334118,2017,9,109,9125
306,26,333120,2017,7,191,8429
308,26,333922,2017,49,3529,319129
310,26,335931,2017,7,249,11951
312,26,337212,2017,36,546,30918
314,26,332114,2017,16,480,23730
316,26,333515,2017,182,3259,194232
318,26,339114,2017,11,0,0
320,26,339116,2017,140,1039,44051
322,26,339930,2017,9,60,3204
324,26,334510,2017,4,787,71853
326,26,332813,2017,135,4779,192773
328,26,332996,2017,22,1567,45813
330,26,332312,2017,70,1008,53253
332,26,333111,2017,6,175,8099
334,26,339993,2017,3,0,0
336,26,333995,2017,17,827,48927
338,26,333996,2017,4,215,6344
340,26,332912,2017,15,2023,118290
343,26,339991,2017,11,230,9899
345,26,332510,2017,19,308,17474
347,26,333414,2017,4,0,0
349,26,333413,2017,14,174,8236
351,26,333511,2017,165,5688,354499
353,26,333994,2017,20,455,41656
355,26,333924,2017,6,97,6561
357,26,332911,2017,3,25,1291
359,26,337127,2017,31,2194,115265
361,26,334515,2017,27,589,25703
363,26,334513,2017,24,593,49668
365,26,332111,2017,21,1458,92762
367,26,331110,2017,14,63,3807
369,26,331210,2017,7,0,0
371,26,331511,2017,6,0,0
373,26,339910,2017,7,26,966
375,26,333112,2017,3,0,0
376,26,332710,2017,955,13924,749343
378,26,333517,2017,100,2645,174612
380,26,333914,2017,9,107,6552
382,26,333613,2017,7,181,11633
384,26,332812,2017,127,3743,172017
386,26,332119,2017,51,1503,76724
388,26,332811,2017,93,2732,148358
390,26,332321,2017,6,64,2688
392,26,336992,2017,4,778,77995
394,26,336211,2017,12,262,11347
396,26,336340,2017,3,217,16669
397,26,336320,2017,31,2024,102764
399,26,336310,2017,48,6775,519736
401,26,336370,2017,220,31962,1850459
403,26,336360,2017,50,9403,439206
405,26,336330,2017,11,286,17913
407,26,336350,2017,30,8826,731058
409,26,339992,2017,3,6,146
411,26,331523,2017,33,1554,62210
413,26,337122,2017,17,163,7826
415,26,337214,2017,24,7919,568550
417,26,339940,2017,3,0,0
419,26,339115,2017,20,216,7643
421,26,333314,2017,4,254,18257
423,26,332323,2017,29,360,19609
425,26,336413,2017,7,445,28636
427,26,331318,2017,6,906,39516
429,26,333318,2017,28,659,45563
431,26,334290,2017,5,176,11182
433,26,334419,2017,17,452,31326
435,26,333618,2017,15,244,14034
437,26,332618,2017,15,423,14346
439,26,333249,2017,156,3069,240682
441,26,335129,2017,3,6,84
443,26,334519,2017,38,1468,104367
445,26,336390,2017,135,22646,1180680
447,26,331529,2017,6,34,2748
449,26,333923,2017,7,130,8201
451,26,333993,2017,4,131,6756
453,26,332313,2017,57,1369,77301
455,26,333991,2017,5,147,3845
457,26,332721,2017,288,10724,562585
459,26,332311,2017,8,100,6004
461,26,334418,2017,15,360,18586
463,26,333244,2017,4,54,3009
465,26,335314,2017,23,520,36647
467,26,331221,2017,10,546,33020
469,26,333519,2017,56,3108,247587
471,26,332216,2017,43,805,50768
473,26,334511,2017,4,41,1728
475,26,331492,2017,3,0,0
476,26,334413,2017,7,7,474
478,26,332322,2017,103,2068,118511
480,26,337215,2017,21,1086,54701
482,26,339950,2017,143,1898,93587
484,26,334614,2017,12,40,2605
486,26,333514,2017,445,13083,892012
488,26,333612,2017,13,765,43398
490,26,339920,2017,20,120,4881
492,26,332613,2017,21,763,34534
494,26,331513,2017,3,0,0
496,26,335911,2017,8,1302,55991
498,26,339112,2017,24,895,45919
500,26,339113,2017,34,720,40854
502,26,335313,2017,9,169,9402
504,26,336214,2017,6,472,29669
506,26,337121,2017,13,26,1230
508,26,333992,2017,24,446,20116
510,26,337110,2017,74,685,27761
512,26,337211,2017,10,1770,84654
514,26,423110,2017,174,5109,475669
516,26,424810,2017,33,772,38426
518,26,424920,2017,25,261,12076
520,26,423320,2017,64,452,28122
522,26,425110,2017,7,6,539
524,26,423430,2017,160,3068,336686
526,26,424450,2017,40,713,30378
528,26,423810,2017,73,1512,119547
530,26,424430,2017,27,1152,58307
532,26,424210,2017,133,3474,289305
534,26,423610,2017,304,4246,358129
536,26,423820,2017,132,2109,118898
538,26,424910,2017,138,1381,96738
540,26,424460,2017,8,71,2237
542,26,424930,2017,72,1561,48044
545,26,424480,2017,77,2440,136765
547,26,423210,2017,125,1508,97794
549,26,424410,2017,49,1372,85977
551,26,424510,2017,58,515,29461
553,26,423710,2017,183,3273,208421
555,26,423220,2017,106,1189,66145
557,26,423620,2017,38,1079,95632
559,26,424130,2017,74,742,50861
561,26,423830,2017,1097,17413,1264212
563,26,423840,2017,272,3266,253832
565,26,423940,2017,46,189,9298
567,26,423310,2017,112,2746,163156
569,26,424470,2017,46,1354,83975
571,26,423450,2017,190,2894,296752
573,26,424320,2017,34,343,13356
575,26,423510,2017,308,7039,462660
577,26,423140,2017,44,570,24806
579,26,423120,2017,679,24191,1998170
581,26,423420,2017,213,2185,129072
583,26,423460,2017,15,85,5630
585,26,424690,2017,223,2978,210373
587,26,423440,2017,79,1067,62861
589,26,423390,2017,77,826,54347
591,26,423690,2017,270,3627,358982
