Naics,Establishments,Employees,Payroll
621511,107,1178,74100
621512,45,594,79961
622110,81,52421,3598342
622210,14,2253,132950
622310,15,2685,149436
623110,254,19691,598477
623210,71,2332,68565
623220,69,1906,69517
623311,37,1973,55828
624110,106,979,29777
624120,376,15580,337172
624190,324,2277,85191
624210,87,578,13053
624221,57,774,23545
624229,32,326,12663
624230,5,26,1203
624310,65,1526,32544
711110,15,111,5814
711120,4,18,324
711130,15,95,3059
711211,3,35,2558
711212,7,1135,43306
711219,24,115,4676
711310,24,367,13610
711320,25,87,3725
711410,8,13,825
712110,38,580,23654
561312,21,70,4039
561320,286,29623,929687
561611,17,81,2752
621320,251,1546,62965
561612,50,3336,72861
611610,100,456,6596
561613,6,194,7641
561621,80,824,39556
561622,31,118,3878
561710,169,1940,95241
562998,8,71,3082
561720,462,7942,157640
621111,1837,21236,2054465
561730,735,4310,157329
561990,84,1188,52748
611511,27,219,6644
611512,3,8,225
611513,14,113,1406
611519,38,176,5708
562111,117,1814,88339
621330,315,1089,37717
562211,18,259,16322
621340,698,5393,237482
611691,53,273,8403
611710,49,129,6144
621410,24,153,4832
712120,9,27,432
621491,8,22,1644
621492,73,935,51317
621610,253,7309,266740
621910,90,1648,82783
621991,17,804,28790
621999,64,512,21633
623990,47,717,24150
623312,110,2569,65606
711510,54,102,4281
624410,693,9962,233543
712130,5,31,854
713110,3,68,4121
713120,23,263,6327
713940,243,2130,37509
713990,146,801,16566
721110,745,8495,199424
721199,56,322,7409
721211,35,95,2383
721214,53,423,20561
721310,18,90,2353
722310,243,4161,85973
722330,149,374,7323
722410,124,802,17687
722511,1975,34885,748610
811111,578,2435,99579
811121,321,1940,88892
811122,72,296,12329
811198,20,68,2359
811213,19,72,4286
811219,19,101,6148
811411,21,57,1379
811412,41,191,7462
811420,19,60,2230
812111,37,213,8282
812112,407,1533,38986
812210,210,1327,45076
812220,43,144,4579
812310,49,117,1890
812320,91,778,16052
812331,4,139,5550
812332,19,838,37062
812990,104,215,6891
813211,67,274,20139
813212,37,286,21217
813219,30,296,17080
813312,49,469,25219
712190,8,46,1073
713910,129,1969,59288
713930,36,237,8086
713950,28,414,8766
721191,27,72,1940
812910,163,709,21608
722320,49,303,8244
722513,2181,47136,798033
811310,241,1903,99493
722514,82,955,20815
812930,13,110,2746
722515,470,4016,75097
811112,15,45,1607
811113,47,171,7352
812113,116,311,8783
811118,40,140,6116
813311,32,224,11213
812191,17,63,3012
812199,173,884,20565
811191,95,583,17117
811192,156,1107,26504
811211,11,41,996
811212,43,210,9550
811430,5,6,85
811490,60,176,5317
813110,2645,17257,390237
813319,57,256,11045
813410,163,912,32791
813910,223,786,45934
813920,40,155,9606
813930,89,451,8915
813940,9,16,1059
813990,59,963,29520
