Naics,Establishments,Employees,Payroll,fips
2389,3,26,1293,31089
4238,6,115,6053,31089
4245,7,46,2384,31089
4247,3,30,505,31089
4249,12,101,4986,31089
4411,3,35,1363,31089
4412,3,4,141,31089
4413,6,42,1594,31089
4441,11,47,1313,31089
4442,4,31,880,31089
4451,6,117,2003,31089
4471,11,118,2076,31089
4481,3,16,172,31089
4482,24,244,3747,31109
4483,22,151,4567,31109
4511,45,1004,17562,31109
4512,9,170,2003,31109
4522,10,788,11258,31109
4523,26,2016,53842,31109
4531,8,30,589,31109
4532,27,194,3468,31109
4533,28,318,5707,31109
4523,5,89,1259,31089
4543,3,9,219,31089
4531,4,7,67,31089
4841,13,30,971,31089
4842,23,129,6003,31089
5151,4,28,634,31089
5173,5,23,964,31089
5221,10,98,5354,31089
5239,5,19,1508,31089
5242,10,49,1886,31089
5311,3,6,265,31089
5411,6,24,2062,31089
5412,6,13,459,31089
5413,3,4,89,31089
5416,4,15,970,31089
5419,5,20,807,31089
5617,3,9,186,31089
6212,4,25,1361,31089
6213,10,57,1456,31089
6214,6,31,1382,31089
6231,4,119,2823,31089
6233,3,113,2392,31089
6241,5,42,1414,31089
7139,5,29,306,31089
7211,5,47,583,31089
7225,17,215,2834,31089
7224,4,22,321,31089
8111,15,39,1349,31089
8113,9,29,1125,31089
8122,3,7,329,31089
8131,14,99,1855,31089
4539,46,402,8595,31109
4541,62,1372,47674,31109
4543,32,133,5115,31109
4542,5,87,3429,31109
4841,80,1957,99128,31109
4842,67,531,32009,31109
4853,5,35,538,31109
4859,6,49,885,31109
4881,4,1282,93736,31109
4884,9,41,1606,31109
4885,12,27,2573,31109
4921,12,448,15283,31109
4922,3,16,447,31109
1151,6,19,2190,31055
1152,10,34,768,31055
4931,11,512,18918,31109
5111,19,1379,76268,31109
5112,25,1279,97896,31109
5121,13,163,2208,31109
5151,12,266,12392,31109
5173,41,1061,59267,31109
5182,19,361,29296,31109
5191,14,38,2282,31109
2213,4,72,3842,31055
5221,174,2508,150374,31109
2361,335,1233,60655,31055
2362,82,1937,135621,31055
2371,31,194,12825,31055
2373,16,723,73172,31055
2372,6,5,439,31055
2379,6,28,12490,31055
2381,328,2214,129055,31055
5222,28,3397,220501,31109
5223,43,3027,181084,31109
5231,41,206,36754,31109
5239,112,457,41061,31109
5241,43,4028,295292,31109
5242,233,1061,61553,31109
5311,108,592,17729,31109
2382,346,6664,482414,31055
2383,408,2670,121691,31055
2389,128,962,67193,31055
5312,209,340,21395,31109
5313,78,755,30866,31109
5321,15,110,3054,31109
5322,14,80,3507,31109
5323,3,12,473,31109
5324,12,165,11068,31109
5331,5,143,9020,31109
5411,148,1000,68393,31109
5412,120,1217,53441,31109
5413,108,1430,106173,31109
3111,4,196,8941,31055
3114,4,349,15514,31055
3116,23,6115,252805,31055
