,fips,relevant_naics,estab,emp,payann
42134,06,562111,851,27276,1935408
42135,06,562112,86,1758,112539
42136,06,562119,67,361,12370
42137,06,562211,100,2718,167803
42138,06,562213,4,75,4644
42139,06,562219,18,282,16392
42140,06,562910,426,8036,542437
42141,06,562920,142,2087,116226
42142,06,611310,656,176334,8497529
42143,06,562991,231,3215,160263
42144,06,562998,76,1006,59124
42145,06,611110,2722,134209,6052600
42146,06,611210,120,5112,228674
42147,06,611420,239,2392,177202
42148,06,611430,813,6032,457134
42149,06,611511,179,2027,66429
42150,06,611512,136,1310,70567
42151,06,611513,127,1859,93843
42152,06,611519,620,9288,415546
42153,06,611710,1575,15575,726811
42154,06,611610,1900,13613,299822
42155,06,611620,2220,18249,392617
42156,06,611630,390,4934,91143
42157,06,621111,30215,214801,19932032
42158,06,611691,1954,24569,775174
42159,06,611692,310,1679,36802
42160,06,611699,954,13703,272699
42161,06,621112,1666,4569,400973
42162,06,621391,725,2661,131104
42163,06,621210,22341,132422,6333625
42164,06,621310,4142,11924,375439
42165,06,621320,2961,15356,606656
42166,06,621330,3413,24183,742709
42167,06,621340,3799,34376,1429817
42168,06,621399,2920,10420,449278
42169,06,621410,301,3622,199473
42170,06,621492,797,16806,973485
42171,06,621493,817,14506,890543
42172,06,811111,9549,40789,1688414
42173,06,621420,1183,21781,1015598
42174,06,621491,927,103143,12456353
42175,06,621498,1632,52352,3165305
42176,06,621511,1628,25356,1946815
42177,06,621512,773,12954,758680
42178,06,621610,3653,95318,3786661
42179,06,621910,435,22998,1000866
42180,06,621991,131,5632,347603
42181,06,621999,488,6058,425042
42182,06,624210,390,4943,188719
42183,06,622110,424,533404,46222048
42184,06,622210,38,17971,1333161
42185,06,623220,1221,27219,1039264
42186,06,622310,38,15485,1195376
42187,06,623311,439,31263,1046658
42188,06,623110,1770,143474,5092284
42189,06,623312,3510,59493,1630228
42190,06,623210,2448,29314,766375
42191,06,624120,3903,129313,3261841
42192,06,623990,754,15978,568318
42193,06,624230,107,1449,81524
42194,06,624110,1486,29742,1086082
42195,06,624190,3388,46771,1786836
42196,06,624221,384,7883,280434
42197,06,624229,509,7857,360016
42198,06,624310,770,30673,739785
42199,06,711190,34,261,9908
42200,06,624410,8716,82239,2321309
42201,06,711110,415,7858,269251
42202,06,711120,81,1345,44591
42203,06,711410,1484,9252,1334354
42204,06,711130,1028,6359,390214
42205,06,711211,111,11773,2927761
42206,06,711212,50,2669,87789
42207,06,711219,401,2078,89533
42208,06,721310,222,989,33272
42209,06,711310,433,18740,451024
42210,06,711320,671,4905,318156
42211,06,711510,14650,19246,5584603
42212,06,712110,484,12457,495479
42213,06,712120,45,522,21904
42214,06,712130,62,5643,232118
42215,06,712190,78,811,36553
42216,06,713110,53,53951,1592399
42217,06,713120,381,6920,147509
42218,06,713210,41,16606,679624
42219,06,713290,154,11155,408730
42220,06,713910,644,35588,1075097
42221,06,713920,24,5624,71947
42222,06,713930,221,2457,92541
42223,06,713940,4612,91807,1690477
42224,06,713950,194,5940,131272
42225,06,713990,1816,16250,388658
42226,06,721110,5735,221410,7744221
42227,06,721120,31,37245,1598157
42228,06,721191,254,1746,40810
42229,06,722320,1661,22761,532783
42230,06,721199,128,1211,34723
42231,06,721211,373,3161,98211
42232,06,721214,219,2150,77778
42233,06,722310,2315,62413,1826358
42234,06,722515,11425,132009,2420131
42235,06,722330,753,3082,69592
42236,06,722410,3328,41983,900292
42237,06,722511,31770,673325,16026293
42238,06,722513,32534,565459,10499618
42239,06,722514,497,11557,200207
42240,06,811112,201,594,18328
42241,06,811122,629,3186,122440
42242,06,811213,191,1532,99473
42243,06,811113,516,1877,72388
42244,06,811118,387,1574,62194
42245,06,811121,4246,36097,1773488
42246,06,811191,695,6374,181984
42247,06,811192,1984,25243,578224
42248,06,811198,1006,3029,101200
42249,06,811211,224,1686,69881
42250,06,811212,681,4390,216252
42251,06,811219,371,4337,312501
42252,06,813211,1749,21891,1269390
42253,06,811310,1806,16234,957998
42254,06,813311,402,3561,232635
42255,06,811411,78,208,5926
42256,06,811412,541,2001,79059
42257,06,811420,417,1491,51619
42258,06,811430,111,288,6407
42259,06,811490,951,3554,125655
42260,06,812111,475,3101,76385
42261,06,812332,162,6997,328741
42262,06,812112,7637,36655,881353
42263,06,812113,4977,23429,387697
42264,06,812191,331,2621,49222
42265,06,812199,2649,17812,421167
42266,06,812921,67,1367,185047
42267,06,812922,19,70,1362
42268,06,812210,766,6569,305145
42269,06,812220,271,3319,177075
42270,06,812310,1193,4844,111797
42271,06,812320,2528,14745,359566
42272,06,813110,12224,139586,3559436
42273,06,812331,114,8090,302216
42274,06,812910,2048,12622,319888
42275,06,812930,2569,29399,688283
42276,06,812990,2154,16576,794404
42277,06,813410,2199,26309,654239
42278,06,813920,620,5556,402370
42279,06,813212,448,5158,342000
42280,06,813219,386,3683,169853
42281,06,813312,905,10294,535782
42282,06,813319,865,6739,317698
42283,06,813910,1342,8605,683441
42284,06,813930,1115,17119,932065
42285,06,813940,299,1186,75015
42286,06,813990,1556,12462,529816
