,fips,relevant_naics,YEAR,estab,emp,payann
147,15,339999,2017,9,15,370
149,15,339116,2017,20,147,5966
151,15,339910,2017,24,252,6541
153,15,332710,2017,6,52,2972
155,15,332321,2017,5,38,1097
157,15,339992,2017,3,53,2213
159,15,337122,2017,6,86,5243
161,15,332323,2017,3,0,0
164,15,332322,2017,5,94,7065
166,15,336611,2017,13,922,66061
168,15,339950,2017,12,84,3320
170,15,339920,2017,19,63,1956
172,15,337110,2017,22,143,6935
174,15,423110,2017,10,172,12341
176,15,424810,2017,13,170,7918
178,15,424920,2017,8,18,542
180,15,423320,2017,9,0,0
182,15,423430,2017,13,84,8485
184,15,424450,2017,25,297,9393
186,15,423810,2017,22,386,25007
188,15,424430,2017,7,242,9694
190,15,424210,2017,51,730,30591
192,15,423610,2017,46,456,34043
194,15,423820,2017,11,143,12056
196,15,424910,2017,31,285,21274
198,15,424460,2017,32,621,22856
200,15,424930,2017,37,348,10701
202,15,424340,2017,11,48,2196
204,15,424480,2017,54,1009,42182
206,15,423210,2017,11,167,9869
208,15,424410,2017,13,342,13936
210,15,423710,2017,21,159,8092
212,15,423220,2017,35,267,15001
214,15,423620,2017,6,83,5283
216,15,424130,2017,31,410,19169
218,15,423830,2017,38,197,12280
220,15,423840,2017,12,90,6126
222,15,423940,2017,53,199,5514
224,15,423310,2017,25,205,11317
226,15,424470,2017,4,67,3704
228,15,423450,2017,26,197,14094
230,15,424320,2017,33,350,15946
232,15,423510,2017,18,186,13651
234,15,423120,2017,27,378,19767
236,15,423420,2017,20,329,20929
238,15,423460,2017,4,25,467
240,15,424690,2017,18,107,5042
242,15,423440,2017,17,108,4955
244,15,423390,2017,16,136,9162
246,15,423690,2017,25,225,23999
248,15,424490,2017,98,1951,73820
250,15,423990,2017,29,282,11790
252,15,424990,2017,79,416,16422
254,15,423490,2017,6,22,837
256,15,424420,2017,43,1422,76866
258,15,424950,2017,5,45,2739
260,15,424720,2017,3,23,1183
262,15,424710,2017,12,258,20578
